iter	Passed	Remaining
401	14321	21303
402	14347	21253
403	14375	21207
404	14403	21160
405	14428	21110
406	14455	21062
407	14476	21005
408	14532	20999
409	14562	20956
410	14590	20909
411	14622	20868
412	14649	20821
413	14676	20774
414	14702	20724
415	14725	20672
416	14753	20626
417	14777	20575
418	14803	20526
419	14831	20481
420	14858	20434
421	14883	20384
422	14904	20330
423	14953	20314
424	14983	20271
425	15013	20229
426	15043	20187
427	15073	20145
428	15105	20106
429	15132	20059
430	15163	20018
431	15195	19979
432	15226	19938
433	15255	19895
434	15281	19848
435	15305	19798
436	15335	19757
437	15363	19713
438	15389	19666
439	15418	19624
440	15491	19636
441	15514	19586
442	15535	19533
443	15561	19487
444	15592	19446
445	15621	19404
446	15651	19363
447	15684	19325
448	15715	19285
449	15739	19236
450	15763	19189
451	15791	19145
452	15818	19100
453	15844	19054
454	15870	19010
455	15896	18964
456	15922	18919
457	15949	18874
458	15977	18832
459	16002	18785
460	16029	18741
461	16053	18694
462	16082	18652
463	16112	18613
464	16141	18571
465	16171	18530
466	16203	18493
467	16240	18460
468	16270	18421
469	16298	18379
470	16322	18332
471	16345	18285
472	16374	18244
473	16401	18200
474	16427	18156
475	16453	18112
476	16478	18067
477	16506	18025
478	16535	17985
479	16566	17947
480	16596	17907
481	16627	17869
482	16658	17831
483	16690	17793
484	16720	17754
485	16749	17714
486	16777	17672
487	16798	17624
488	16824	17581
489	16852	17540
490	16880	17499
491	16918	17468
492	16943	17424
493	16971	17383
494	16998	17342
495	17025	17299
496	17052	17258
497	17078	17216
498	17105	17174
499	17133	17133
500	17166	17097
501	17191	17055
502	17222	17017
503	17260	16986
504	17292	16950
505	17322	16911
506	17351	16871
507	17386	16839
508	17415	16799
509	17474	16788
510	17500	16747
511	17525	16703
512	17553	16664
513	17580	16622
514	17603	16577
515	17630	16537
516	17656	16495
517	17682	16453
518	17708	16412
519	17733	16369
520	17756	16324
521	17781	16282
522	17806	16240
523	17827	16194
524	17859	16158
525	17889	16120
526	17918	16082
527	17947	16044
528	17975	16004
529	18003	15965
530	18031	15926
531	18059	15887
532	18090	15849
533	18145	15834
534	18174	15796
535	18198	15754
536	18226	15715
537	18252	15674
538	18278	15633
539	18308	15596
540	18335	15556
541	18362	15516
542	18389	15477
543	18415	15436
544	18443	15397
545	18467	15356
546	18496	15317
547	18526	15281
548	18558	15245
549	18584	15205
550	18614	15168
551	18643	15131
552	18674	15094
553	18703	15056
554	18733	15020
555	18762	14983
556	18792	14946
557	18819	14906
558	18851	14871
559	18879	14833
560	18905	14794
561	18934	14757
562	18966	14721
563	19000	14687
564	19026	14649
565	19061	14616
566	19092	14580
567	19122	14543
568	19147	14503
569	19173	14464
570	19201	14426
571	19229	14388
572	19261	14353
573	19295	14320
